"YEAR","MONTH","DATE","SBC_SITE","LOCATION","COUNT","ACTIVITY","NOTES"
2008,4,"2008-04-03","MOHK","MOHK",0,.,.
2008,4,"2008-04-03","ABUR","ABUR",0,.,.
2008,4,"2008-04-07","MOHK","MOHK",0,.,.
2008,4,"2008-04-09","AQUE","AQUE",9,.,.
2008,4,"2008-04-09","CARP","HORSESHOE REEF",1,.,.
2008,4,"2008-04-09","IVEE","DEVEREAUX",20,.,"20+ SEEN"
2008,4,"2008-04-11","NAPL","NAPL",0,.,.
2008,4,"2008-04-11","IVEE","IVEE",25,.,.
2008,4,"2008-04-14","MOHK","MOHK",0,.,.
2008,4,"2008-04-15","MOHK","MOHK",0,.,.
2008,4,"2008-04-17","MOHK","MOHK",0,.,.
2008,4,"2008-04-22","MOHK","MOHK",0,.,.
2008,4,"2008-04-24","AQUE","AQUE",10,.,"10+"
2008,4,"2008-04-24","IVEE","IVEE",10,.,.
2008,4,"2008-04-24","NAPL","NAPL",0,.,.
2008,5,"2008-05-01","ABUR","ABUR",0,.,.
2008,5,"2008-05-01","GOLB","MORE MESA",1,.,.
2008,5,"2008-05-02","AQUE","AQUE",5,.,.
2008,5,"2008-05-02","IVEE","DEVEREAUX",1,.,.
2008,5,"2008-05-02","IVEE","IVEE",42,.,.
2008,5,"2008-05-06","SCTW","SCTW",0,.,.
2008,5,"2008-05-06","SCDI","SCDI",0,.,.
2008,5,"2008-05-08","CARP","CARP",0,.,.
2008,5,"2008-05-15","MOHK","MOHK",0,.,.
2008,5,"2008-05-19","IVEE","IVEE",5,.,.
2008,5,"2008-05-19","NAPL","NAPL",0,.,.
2008,5,"2008-05-20","CARP","CARP",0,.,.
2008,5,"2008-05-20","MOHK","MOHK",0,.,.
2008,5,"2008-05-28","AQUE","AQUE",0,.,.
2008,5,"2008-05-29","MOHK","MOHK",0,.,.
2008,6,"2008-06-02","MOHK","MOHK",0,.,.
2008,6,"2008-06-03","AQUE","AQUE",0,.,.
2008,6,"2008-06-12","ABUR","ABUR",0,.,.
2008,6,"2008-06-13","MOHK","MOHK",0,.,.
2008,6,"2008-06-17","MOHK","MOHK",0,.,.
2008,6,"2008-06-18","ABUR","ABUR",0,.,.
2008,6,"2008-06-19","IVEE","IVEE",3,.,.
2008,6,"2008-06-19","NAPL","NAPL",0,.,.
2008,6,"2008-06-23","CARP","CARP",0,.,.
2008,6,"2008-06-24","AQUE","AQUE",0,.,.
2008,6,"2008-06-26","MOHK","MOHK",0,.,.
2008,6,"2008-06-30","MOHK","MOHK",0,.,.
2008,7,"2008-07-01","MOHK","MOHK",0,.,.
2008,7,"2008-07-01","AQUE","AQUE",0,.,.
2008,7,"2008-07-05","CARP","CARP",0,.,.
2008,7,"2008-07-07","MOHK","MOHK",0,.,.
2008,7,"2008-07-10","MOHK","MOHK",0,.,.
2008,7,"2008-07-10","ABUR","ABUR",0,.,.
2008,7,"2008-07-10","ABUR","ABUR",0,.,.
2008,7,"2008-07-11","NAPL","NAPL",0,.,.
2008,7,"2008-07-14","AQUE","AQUE",0,.,.
2008,7,"2008-07-15","CARP","CARP",0,.,.
2008,7,"2008-07-17","MOHK","MOHK",0,.,.
2008,7,"2008-07-17","CARP","CARP",0,.,.
2008,7,"2008-07-21","IVEE","IVEE",0,.,.
2008,7,"2008-07-21","NAPL","NAPL",0,.,.
2008,7,"2008-07-22","IVEE","IVEE",0,.,.
2008,7,"2008-07-22","GOLB","GOLB",0,.,.
2008,7,"2008-07-22","GOLB","GOLB",0,.,.
2008,7,"2008-07-23","AQUE","AQUE",0,.,.
2008,7,"2008-07-23","AQUE","AQUE",0,.,.
2008,7,"2008-07-24","CARP","CARP",0,.,.
2008,7,"2008-07-24","CARP","CARP",0,.,.
2008,7,"2008-07-25","CARP","CARP",0,.,.
2008,7,"2008-07-25","CARP","CARP",0,.,.
2008,7,"2008-07-28","NAPL","NAPL",2,"FEEDING",.
2008,7,"2008-07-28","NAPL","NAPL",0,.,.
2008,7,"2008-07-29","BULL","BULL",0,.,.
2008,7,"2008-07-29","BULL","BULL",0,.,.
2008,7,"2008-07-29","AHND","AHND",0,.,.
2008,7,"2008-07-30","SCDI","SCDI",0,.,.
2008,7,"2008-07-30","SCTW","SCTW",0,.,.
2008,7,"2008-07-31","ABUR","ABUR",0,.,.
2008,7,"2008-07-31","MOHK","MOHK",0,.,.
2008,8,"2008-08-01","NAPL","NAPL",0,.,.
2008,8,"2008-08-01","NAPL","NAPL",0,.,.
2008,8,"2008-08-07","MOHK","MOHK",0,.,.
2008,8,"2008-08-07","ABUR","ABUR",0,.,.
2008,8,"2008-08-08","AQUE","AQUE",0,.,.
2008,8,"2008-08-11","CARP","CARP",0,.,.
2008,8,"2008-08-12","AQUE","AQUE",0,.,.
2008,8,"2008-08-13","NAPL","NAPL",0,.,.
2008,8,"2008-08-13","NAPL","NAPL",0,.,.
2008,8,"2008-08-14","MOHK","MOHK",0,.,.
2008,8,"2008-08-18","CARP","CARP",0,.,.
2008,8,"2008-08-19","MOHK","MOHK",0,.,.
2008,8,"2008-08-20","ABUR","ABUR",0,.,.
2008,8,"2008-08-20","MOHK","MOHK",0,.,.
2008,8,"2008-08-28","MOHK","MOHK",0,.,.
2008,9,"2008-09-03","AQUE","AQUE",0,.,.
2008,9,"2008-09-04","ABUR","ABUR",0,.,.
2008,9,"2008-09-04","MOHK","MOHK",0,.,.
2008,9,"2008-09-09","NAPL","NAPL",0,.,.
2008,9,"2008-09-09","GOLB","GOLB",0,.,.
2008,9,"2008-09-11","GOLB","GOLB",0,.,.
2008,9,"2008-09-11","MOHK","MOHK",0,.,.
2008,9,"2008-09-15","MOHK","MOHK",0,.,.
2008,9,"2008-09-22","MOHK","MOHK",0,.,.
2008,9,"2008-09-23","MOHK","MOHK",0,.,.
2008,9,"2008-09-26","NAPL","NAPL",0,.,.
2008,9,"2008-09-29","MOHK","MOHK",0,.,.
2008,10,"2008-10-01","ABUR","ABUR",0,.,.
2008,10,"2008-10-02","AQUE","AQUE",0,.,.
2008,10,"2008-10-10","NAPL","NAPL",0,.,.
2008,10,"2008-10-16","MOHK","MOHK",0,.,.
2008,10,"2008-10-22","MOHK","MOHK",0,.,.
2008,10,"2008-10-24","CARP","CARP",0,.,.
2008,10,"2008-10-28","AQUE","AQUE",0,.,.
2008,10,"2008-10-29","OTHER","PALOS VERDES",0,.,.
2008,11,"2008-11-06","AQUE","AQUE",2,.,"1 AT AQUE;1 AT TAJIGUAS"
2008,11,"2008-11-06","IVEE","DEVEREAUX",1,.,.
2008,11,"2008-11-07","ABUR","ABUR",0,.,.
2008,11,"2008-11-07","MOHK","MOHK",0,.,.
2008,11,"2008-11-12","SCTW","SCTW",0,.,.
2008,11,"2008-11-14","SCTW","SCTW",0,.,.
2008,11,"2008-11-18","SCTW","FRY'S HARBOR",0,.,.
2008,11,"2008-11-23","GOLB","GOLB",0,.,.
2008,11,"2008-11-24","CARP","CARP",0,.,.
2008,11,"2008-11-24","MOHK","S.B. HARBOR",4,.,.
2008,12,"2008-12-03","MOHK","MOHK",0,.,.
2008,12,"2008-12-04","AQUE","AQUE",0,.,.
2008,12,"2008-12-05","ABUR","ABUR",0,.,.
2008,12,"2008-12-08","NAPL","NAPL",0,.,.
2008,12,"2008-12-12","MOHK","MOHK",0,.,.
2008,12,"2008-12-17","CARP","CARP",0,.,.
2008,12,"2008-12-18","AQUE","AQUE",0,.,.
2009,1,"2009-01-06","ABUR","ABUR",0,.,.
2009,1,"2009-01-08","NAPL","NAPL",0,.,.
2009,1,"2009-01-12","MOHK","MOHK",0,.,.
2009,1,"2009-01-15","AQUE","AQUE",0,.,.
2009,1,"2009-01-15","IVEE","IVEE",0,.,.
2009,1,"2009-01-27","IVEE","IVEE",2,"FEEDING",.
2009,1,"2009-01-27","IVEE","IVEE",2,"RAFTING",.
2009,1,"2009-01-27","NAPL","NAPL",0,.,.
2009,1,"2009-01-28","MOHK","MOHK",0,.,.
2009,1,"2009-01-29","AQUE","AQUE",0,.,.
2009,1,"2009-01-30","CARP","CARP",0,.,.
2009,2,"2009-02-02","AQUE","AQUE",0,.,.
2009,2,"2009-02-02","AHND","AHND",0,.,.
2009,2,"2009-02-02","BULL","BULL",0,.,.
2009,2,"2009-02-03","ABUR","ABUR",0,.,.
2009,2,"2009-02-03","MOHK","MOHK",0,.,.
2009,2,"2009-02-04","MOHK","MOHK",0,.,.
2009,2,"2009-02-19","CARP","CARP",0,.,.
2009,2,"2009-02-19","MOHK","MOHK",0,.,.
2009,2,"2009-02-25","GOLB","GOLB",0,.,.
2009,2,"2009-02-25","MOHK","MOHK",0,.,.
2009,3,"2009-03-02","MOHK","MOHK",0,.,.
2009,3,"2009-03-09","ABUR","ABUR",0,.,.
2009,3,"2009-03-09","MOHK","MOHK",0,.,.
2009,3,"2009-03-10","AQUE","AQUE",0,.,.
2009,3,"2009-03-16","MOHK","MOHK",0,.,.
2009,3,"2009-03-17","CARP","CARP",0,.,.
2009,3,"2009-03-18","AQUE","AQUE",0,.,.
2009,3,"2009-03-18","NAPL","NAPL",0,.,.
2009,3,"2009-03-31","AQUE","AQUE",0,.,.
2009,3,"2009-03-31","NAPL","NAPL",0,.,.
2009,3,"2009-03-31","MOHK","MOHK",0,.,.
2009,4,"2009-04-02","MOHK","MOHK",0,.,.
2009,4,"2009-04-07","ABUR","ABUR",0,.,.
2009,4,"2009-04-07","MOHK","MOHK",0,.,.
2009,4,"2009-04-21","AQUE","AQUE",0,.,.
2009,4,"2009-04-22","NAPL","NAPL",0,.,.
2009,4,"2009-04-24","MOHK","MOHK",0,.,.
2009,4,"2009-04-29","CARP","CARP",0,.,.
2009,5,"2009-05-01","AQUE","AQUE",0,.,.
2009,5,"2009-05-04","ABUR","ABUR",0,.,.
2009,5,"2009-05-05","MOHK","MOHK",0,.,.
2009,5,"2009-05-05","MOHK","MOHK",0,.,.
2009,5,"2009-05-12","MOHK","MOHK",0,.,.
2009,5,"2009-05-18","SCDI","SCDI",0,.,.
2009,5,"2009-05-18","SCTW","SCTW",0,.,.
2009,5,"2009-05-27","MOHK","MOHK",0,.,.
2009,5,"2009-05-27","ABUR","ABUR",0,.,.
2009,5,"2009-05-27","MOHK","MOHK",0,.,.
2009,5,"2009-05-28","MOHK","MOHK",0,.,.
2009,5,"2009-05-29","MOHK","MOHK",0,.,.
2009,5,"2009-05-29","NAPL","NAPL",0,.,.
2009,5,"2009-05-29","MOHK","MOHK",0,.,.
2009,5,"2009-05-29","MOHK","MOHK",0,.,.
2009,5,"2009-05-29","MOHK","MOHK",0,.,.
2009,5,"2009-05-29","NAPL","NAPL",0,.,.
2009,6,"2009-06-02","MOHK","MOHK",0,.,.
2009,6,"2009-06-04","AQUE","AQUE",0,.,.
2009,6,"2009-06-04","MOHK","MOHK",0,.,.
2009,6,"2009-06-04","NAPL","NAPL",0,.,.
2009,6,"2009-06-09","MOHK","MOHK",0,.,.
2009,6,"2009-06-10","CARP","CARP",0,.,.
2009,6,"2009-06-11","NAPL","NAPL",0,.,.
2009,6,"2009-06-18","AQUE","AQUE",0,.,.
2009,6,"2009-06-23","IVEE","IVEE",0,.,.
2009,6,"2009-06-25","MOHK","MOHK",0,.,.
2009,6,"2009-06-25","MOHK","MOHK",0,.,.
2009,6,"2009-06-30","CARP","CARP",0,.,.
2009,7,"2009-07-01","MOHK","MOHK",0,.,.
2009,7,"2009-07-01","ABUR","ABUR",0,.,.
2009,7,"2009-07-02","AQUE","AQUE",0,.,.
2009,7,"2009-07-08","BULL","BULL",0,.,.
2009,7,"2009-07-08","AHND","AHND",0,.,.
2009,7,"2009-07-09","MOHK","MOHK",0,.,.
2009,7,"2009-07-10","MOHK","MOHK",0,.,.
2009,7,"2009-07-14","NAPL","NAPL",0,.,.
2009,7,"2009-07-15","AQUE","AQUE",0,.,.
2009,7,"2009-07-17","MOHK","MOHK",0,.,.
2009,7,"2009-07-17","IVEE","IVEE",0,.,.
2009,7,"2009-07-17","MOHK","MOHK",0,.,.
2009,7,"2009-07-17","NAPL","NAPL",0,.,.
2009,7,"2009-07-20","GOLB","GOLB",0,.,.
2009,7,"2009-07-20","IVEE","IVEE",0,.,.
2009,7,"2009-07-21","NAPL","NAPL",0,.,.
2009,7,"2009-07-21","NAPL","NAPL",0,.,.
2009,7,"2009-07-22","NAPL","NAPL",0,.,.
2009,7,"2009-07-22","NAPL","NAPL",0,.,.
2009,7,"2009-07-23","MOHK","MOHK",0,.,.
2009,7,"2009-07-23","MOHK","MOHK",0,.,.
2009,7,"2009-07-24","ABUR","ABUR",0,.,.
2009,7,"2009-07-24","CARP","CARP",0,.,.
2009,7,"2009-07-24","MOHK","MOHK",0,.,.
2009,7,"2009-07-27","AQUE","AQUE",0,.,.
2009,7,"2009-07-27","AQUE","AQUE",0,.,.
2009,7,"2009-07-27","SCTW","SCTW",0,.,.
2009,7,"2009-07-27","AHND","AHND",0,.,.
2009,7,"2009-07-27","SCDI","SCDI",0,.,.
2009,7,"2009-07-28","BULL","BULL",2,"RAFTING",.
2009,7,"2009-07-28","BULL","BULL",0,.,.
2009,7,"2009-07-28","AHND","AHND",0,.,.
2009,7,"2009-07-28","AHND","AHND",0,.,.
2009,7,"2009-07-29","SCDI","SCDI",0,.,.
2009,7,"2009-07-30","CARP","CARP",0,.,.
2009,7,"2009-07-30","CARP","CARP",0,.,.
2009,8,"2009-08-05","AQUE","AQUE",0,.,.
2009,8,"2009-08-05","NAPL","NAPL",0,.,.
2009,8,"2009-08-06","ABUR","ABUR",0,.,.
2009,8,"2009-08-06","MOHK","MOHK",0,.,.
2009,8,"2009-08-10","MOHK","MOHK",0,.,.
2009,8,"2009-08-11","MOHK","MOHK",0,.,.
2009,8,"2009-08-11","CARP","CARP",0,.,.
2009,8,"2009-08-13","MOHK","MOHK",0,.,.
2009,8,"2009-08-27","NAPL","NAPL",0,.,.
2009,8,"2009-08-30","AQUE","AQUE",0,.,.
2009,9,"2009-09-01","ABUR","ABUR",0,.,.
2009,9,"2009-09-01","MOHK","MOHK",0,.,.
2009,9,"2009-09-02","MOHK","MOHK",0,.,.
2009,9,"2009-09-04","CARP","CARP",0,.,.
2009,9,"2009-09-09","BULL","BULL",0,.,.
2009,9,"2009-09-09","AHND","AHND",0,.,.
2009,9,"2009-09-09","AQUE","AQUE",0,.,.
2009,9,"2009-09-10","CARP","CARP",0,.,.
2009,9,"2009-09-22","ABUR","ABUR",0,.,.
2009,9,"2009-09-22","GOLB","GOLB",0,.,.
2009,9,"2009-09-22","IVEE","IVEE",0,.,.
2009,9,"2009-09-22","MOHK","MOHK",0,.,.
2009,9,"2009-09-22","NAPL","NAPL",0,.,.
2009,9,"2009-09-24","MOHK","MOHK",0,.,.
2009,9,"2009-09-28","AQUE","AQUE",2,"RAFTING",.
2009,9,"2009-09-30","MOHK","MOHK",0,.,.
2009,10,"2009-10-01","ABUR","ABUR",0,.,.
2009,10,"2009-10-05","MOHK","MOHK",0,.,.
2009,10,"2009-10-07","AQUE","AQUE",0,.,.
2009,10,"2009-10-08","OTHER","ANACAPA ISLAND",0,.,.
2009,10,"2009-10-09","MOHK","MOHK",0,.,.
2009,10,"2009-10-12","CARP","CARP",0,.,.
2009,10,"2009-10-20","NAPL","NAPL",0,.,.
2009,10,"2009-10-29","MOHK","MOHK",0,.,.
2009,11,"2009-11-02","MOHK","MOHK",0,.,.
2009,11,"2009-11-03","ABUR","ABUR",0,.,.
2009,11,"2009-11-03","OTHER","AVILA BAY",1,.,.
2009,11,"2009-11-03","MOHK","MOHK",0,.,.
2009,11,"2009-11-05","MOHK","MOHK",0,.,.
2009,11,"2009-11-05","OTHER","SAN MIGUEL ISLAND",0,.,.
2009,11,"2009-11-06","AQUE","AQUE",0,.,.
2009,11,"2009-11-10","ABUR","ABUR",0,.,.
2009,11,"2009-11-10","CARP","CARP",0,.,.
2009,11,"2009-11-16","AQUE","AQUE",0,.,.
2009,11,"2009-11-16","NAPL","NAPL",0,.,.
2009,11,"2009-11-17","CARP","CARP",0,.,.
2009,11,"2009-11-17","MOHK","MOHK",0,.,.
2009,11,"2009-11-20","IVEE","IVEE",0,.,.
2009,11,"2009-11-20","SCDI","SCDI",0,.,.
2009,11,"2009-11-23","MOHK","MOHK",0,.,.
2009,12,"2009-12-01","AQUE","AQUE",0,.,.
2009,12,"2009-12-01","AQUE","AQUE",0,.,.
2009,12,"2009-12-01","IVEE","IVEE",0,.,.
2009,12,"2009-12-01","NAPL","NAPL",0,.,.
2009,12,"2009-12-02","MOHK","MOHK",0,.,.
2009,12,"2009-12-03","ABUR","ABUR",0,.,.
2009,12,"2009-12-03","GOLB","GOLB",0,.,.
2009,12,"2009-12-03","MOHK","MOHK",0,.,.
2009,12,"2009-12-03","MOHK","MOHK",0,.,.
2009,12,"2009-12-15","ABUR","ABUR",0,.,.
2009,12,"2009-12-18","Refugio","REFUGIO",1,.,.
2009,12,"2009-12-18","ABUR","ABUR",0,.,.
2009,12,"2009-12-18","MOHK","MOHK",0,.,.
2010,1,"2010-01-05","AQUE","AQUE",0,.,.
2010,1,"2010-01-07","ABUR","ABUR",0,.,.
2010,1,"2010-01-07","MOHK","MOHK",0,.,.
2010,1,"2010-01-07","MOHK","MOHK",0,.,.
2010,1,"2010-01-28","AQUE","AQUE",0,.,.
2010,1,"2010-01-28","NAPL","NAPL",0,.,.
2010,1,"2010-01-29","CARP","CARP",0,.,.
2010,2,"2010-02-01","ABUR","ABUR",0,.,.
2010,2,"2010-02-01","CARP","CARP",0,.,.
2010,2,"2010-02-02","ABUR","ABUR",0,.,.
2010,2,"2010-02-02","MOHK","MOHK",0,.,.
2010,2,"2010-02-04","AQUE","AQUE",0,.,.
2010,2,"2010-02-09","CARP","CARP",0,.,.
2010,2,"2010-02-11","MOHK","MOHK",0,.,.
2010,2,"2010-02-18","ABUR","ABUR",0,.,.
2010,2,"2010-02-18","CARP","CARP",0,.,.
2010,2,"2010-02-18","MOHK","MOHK",0,.,.
2010,2,"2010-02-23","ABUR","ABUR",0,.,.
2010,2,"2010-02-23","GOLB","GOLB",0,.,.
2010,2,"2010-02-23","IVEE","IVEE",0,.,.
2010,2,"2010-02-23","MOHK","MOHK",0,.,.
2010,3,"2010-03-02","MOHK","MOHK",0,.,.
2010,3,"2010-03-02","MOHK","MOHK",0,.,.
2010,3,"2010-03-02","NAPL","NAPL",0,.,.
2010,3,"2010-03-05","AQUE","AQUE",0,.,.
2010,3,"2010-03-05","AQUE","AQUE",0,.,.
2010,3,"2010-03-05","NAPL","NAPL",0,.,.
2010,3,"2010-03-08","ABUR","ABUR",0,.,.
2010,3,"2010-03-08","MOHK","MOHK",0,.,.
2010,3,"2010-03-11","CARP","CARP",0,.,.
